gamesPlayed,averageTDError,weightDelta,weightMean,weightStdDev,weightMaxAbs,weightNearZero,weightLarge
1050000, 0.03224303, 0.009880165, -9.907817E-4, 0.15402554, 5.315286, 629, 2
1051000, 0.032842748, 0.016650017, -9.984694E-4, 0.15406097, 5.3205023, 629, 2
1052000, 0.03249788, 0.01749746, -9.883083E-4, 0.15408035, 5.3171873, 629, 2
1053000, 0.03267694, 0.010335455, -9.834853E-4, 0.15410219, 5.315939, 629, 2
1054000, 0.032063376, 0.016751567, -9.90618E-4, 0.15413918, 5.3205376, 629, 2
1055000, 0.03245166, 0.008666272, -9.878862E-4, 0.1541674, 5.320117, 629, 2
1056000, 0.032204475, 0.009032509, -9.902309E-4, 0.15420021, 5.323577, 629, 2
1057000, 0.032087483, 0.0100604035, -9.86164E-4, 0.15422541, 5.321681, 629, 2
1058000, 0.03172938, 0.011909392, -9.79918E-4, 0.1542493, 5.3215237, 629, 2
1059000, 0.032254864, 0.009371153, -9.818162E-4, 0.15428323, 5.323826, 629, 2
1060000, 0.031367823, 0.012230206, -9.7491243E-4, 0.15430373, 5.3223777, 629, 2
1061000, 0.032077495, 0.0155397365, -9.660914E-4, 0.15432242, 5.319771, 629, 2
1062000, 0.03161093, 0.006935207, -9.653555E-4, 0.15435067, 5.321912, 629, 2
1063000, 0.032617062, 0.037961923, -9.4221695E-4, 0.15435182, 5.311531, 629, 2
1064000, 0.03145107, 0.009280784, -9.434961E-4, 0.1543846, 5.3137536, 629, 2
1065000, 0.032003038, 0.021909188, -9.5534575E-4, 0.15442398, 5.320999, 629, 2
1066000, 0.03120504, 0.017269785, -9.6286705E-4, 0.15446307, 5.3254795, 629, 2
1067000, 0.031849954, 0.017330304, -9.5269934E-4, 0.15447825, 5.3210707, 629, 2
1068000, 0.031661373, 0.009165891, -9.4946945E-4, 0.15450649, 5.3202186, 629, 2
1069000, 0.032469995, 0.02440979, -9.3459163E-4, 0.15451881, 5.3152423, 629, 2
1070000, 0.031834308, 0.015142955, -9.263847E-4, 0.15454133, 5.3145685, 629, 2
1071000, 0.031118505, 0.028496427, -9.414714E-4, 0.15458837, 5.323721, 629, 2
1072000, 0.03123167, 0.010755397, -9.360962E-4, 0.15461184, 5.322608, 629, 2
1073000, 0.031350885, 0.009419012, -9.319648E-4, 0.15463556, 5.3210263, 629, 2
1074000, 0.03141574, 0.017497672, -9.2199346E-4, 0.15465647, 5.3161926, 629, 2
1075000, 0.031949516, 0.017680021, -9.3064725E-4, 0.15469596, 5.3232145, 629, 2
1076000, 0.031333264, 0.01107723, -9.247002E-4, 0.15471488, 5.3228517, 629, 2
1077000, 0.031034311, 0.010991864, -9.2891994E-4, 0.15475129, 5.3274074, 629, 2
1078000, 0.032111105, 0.031566758, -9.0981345E-4, 0.15475924, 5.3208356, 629, 2
1079000, 0.03179471, 0.013443198, -9.02358E-4, 0.15477692, 5.32053, 629, 2
1080000, 0.03160606, 0.016412964, -9.0993475E-4, 0.1548121, 5.326576, 629, 2
1081000, 0.03165192, 0.011330351, -9.039166E-4, 0.15482983, 5.3246646, 629, 2
1082000, 0.03177544, 0.013779054, -8.963907E-4, 0.15485129, 5.3232713, 629, 2
1083000, 0.031427495, 0.016756378, -8.867113E-4, 0.15486714, 5.320995, 629, 2
1084000, 0.031280536, 0.024573382, -8.9968933E-4, 0.15490945, 5.3309536, 629, 2
1085000, 0.031230124, 0.008830381, -8.963199E-4, 0.15493532, 5.331921, 629, 2
1086000, 0.03139162, 0.012672773, -9.015139E-4, 0.15496933, 5.3364315, 629, 2
1087000, 0.031138552, 0.008794195, -9.0111006E-4, 0.15499939, 5.340189, 629, 2
1088000, 0.03165165, 0.010052283, -8.96044E-4, 0.1550193, 5.339622, 629, 2
1089000, 0.0318196, 0.016298888, -8.8648597E-4, 0.15503457, 5.3358717, 629, 2
1090000, 0.031113354, 0.008567314, -8.8909396E-4, 0.15506628, 5.339002, 629, 2
1091000, 0.03077189, 0.01182935, -8.9425466E-4, 0.15510249, 5.34409, 629, 2
1092000, 0.031057276, 0.007461449, -8.925978E-4, 0.15512814, 5.345878, 629, 2
1093000, 0.031248653, 0.008576036, -8.9510623E-4, 0.15515983, 5.3490334, 629, 2
1094000, 0.030907365, 0.0142071685, -9.0231624E-4, 0.15519384, 5.3544674, 629, 2
1095000, 0.03171375, 0.017370146, -8.917761E-4, 0.15521266, 5.3518806, 629, 2
1096000, 0.031102166, 0.021952746, -9.036379E-4, 0.15525192, 5.3597364, 629, 2
1097000, 0.031327076, 0.015195888, -9.11353E-4, 0.15528825, 5.3643622, 629, 2
1098000, 0.03130107, 0.026678056, -8.954476E-4, 0.15529814, 5.358548, 629, 2
1099000, 0.030917015, 0.017780863, -9.04666E-4, 0.15533803, 5.3648124, 629, 2
1100000, 0.031263888, 0.007758223, -9.0177957E-4, 0.15536264, 5.3655133, 629, 2
1101000, 0.030719064, 0.008320162, -9.0452604E-4, 0.15539335, 5.3689203, 629, 2
1102000, 0.031240089, 0.018800719, -8.9328364E-4, 0.15541032, 5.3653874, 629, 2
1103000, 0.030686256, 0.01309212, -8.991107E-4, 0.15544364, 5.3699927, 629, 2
1104000, 0.030668357, 0.007884923, -9.002447E-4, 0.15547282, 5.373549, 629, 2
1105000, 0.031318802, 0.02713337, -8.8398403E-4, 0.155478, 5.3665924, 629, 2
1106000, 0.03129281, 0.0067969537, -8.8154845E-4, 0.15550373, 5.3675346, 629, 2
1107000, 0.030334504, 0.006668469, -8.796199E-4, 0.15552923, 5.3684955, 629, 2
1108000, 0.030555148, 0.013826708, -8.8668976E-4, 0.15556613, 5.373902, 629, 2
1109000, 0.03094593, 0.0076073506, -8.8397297E-4, 0.15559219, 5.3748274, 629, 2
1110000, 0.030922905, 0.008699231, -8.7934785E-4, 0.15561484, 5.3743477, 629, 2
1111000, 0.030642008, 0.02115093, -8.909555E-4, 0.15565674, 5.3816094, 629, 2
1112000, 0.030554716, 0.0105607705, -8.953174E-4, 0.15568879, 5.386739, 629, 2
1113000, 0.029978853, 0.0078953095, -8.9708914E-4, 0.15571837, 5.3895426, 629, 2
1114000, 0.030882899, 0.011831609, -9.018199E-4, 0.15575103, 5.3947377, 629, 2
1115000, 0.029956369, 0.008947778, -8.971349E-4, 0.1557747, 5.394093, 629, 2
1116000, 0.030740552, 0.007076508, -8.9857966E-4, 0.15580419, 5.3964915, 629, 2
1117000, 0.030423112, 0.010499701, -8.9283986E-4, 0.15582415, 5.3969207, 629, 2
1118000, 0.030639593, 0.012033386, -8.860427E-4, 0.15584464, 5.3955426, 629, 2
1119000, 0.030909529, 0.010888276, -8.800822E-4, 0.15586324, 5.3935633, 629, 2
1120000, 0.030838497, 0.032115694, -8.606581E-4, 0.15586434, 5.386126, 629, 2
